time,house,duration,mean,ci_low,ci_high
270.0,43321 Brittany Bypass,4.0,1.7333333333333332,1.0,2.7366666666666637
270.0,79402 Peterson Drives Apt. 511,1.0,1.7333333333333332,1.0,2.7366666666666637
280.0,310 Kendra Common Apt. 164,1.0,3.5666666666666673,1.42375,6.916666666666667
280.0,55940 Herrera Lane Apt. 849,1.0,3.5666666666666673,1.42375,6.916666666666667
280.0,43321 Brittany Bypass,1.0,3.5666666666666673,1.42375,6.916666666666667
280.0,33890 Jennifer Squares,2.0,3.5666666666666673,1.42375,6.916666666666667
290.0,310 Kendra Common Apt. 164,2.0,2.35,1.3333333333333335,3.4733333333333274
290.0,79402 Peterson Drives Apt. 511,4.0,2.35,1.3333333333333335,3.4733333333333274
290.0,55940 Herrera Lane Apt. 849,1.0,2.35,1.3333333333333335,3.4733333333333274
290.0,43321 Brittany Bypass,1.0,2.35,1.3333333333333335,3.4733333333333274
300.0,310 Kendra Common Apt. 164,1.0,1.2,1.0,1.4
300.0,33890 Jennifer Squares,1.0,1.2,1.0,1.4
300.0,55940 Herrera Lane Apt. 849,1.0,1.2,1.0,1.4
310.0,79402 Peterson Drives Apt. 511,1.0,1.4,1.0,2.2
310.0,310 Kendra Common Apt. 164,1.0,1.4,1.0,2.2
310.0,55940 Herrera Lane Apt. 849,1.0,1.4,1.0,2.2
320.0,43321 Brittany Bypass,1.0,1.7333333333333332,1.15,2.3
320.0,33890 Jennifer Squares,1.0,1.7333333333333332,1.15,2.3
320.0,310 Kendra Common Apt. 164,2.0,1.7333333333333332,1.15,2.3
320.0,79402 Peterson Drives Apt. 511,3.0,1.7333333333333332,1.15,2.3
330.0,55940 Herrera Lane Apt. 849,4.0,1.9333333333333336,1.0666666666666667,2.8349999999999986
330.0,43321 Brittany Bypass,2.0,1.9333333333333336,1.0666666666666667,2.8349999999999986
330.0,33890 Jennifer Squares,4.0,1.9333333333333336,1.0666666666666667,2.8349999999999986
340.0,55940 Herrera Lane Apt. 849,1.0,1.3333333333333335,1.0,1.6666666666666667
340.0,79402 Peterson Drives Apt. 511,1.0,1.3333333333333335,1.0,1.6666666666666667
340.0,310 Kendra Common Apt. 164,1.0,1.3333333333333335,1.0,1.6666666666666667
340.0,33890 Jennifer Squares,1.0,1.3333333333333335,1.0,1.6666666666666667
350.0,43321 Brittany Bypass,1.0,1.9333333333333331,1.0666666666666667,2.8000000000000003
350.0,55940 Herrera Lane Apt. 849,1.0,1.9333333333333331,1.0666666666666667,2.8000000000000003
350.0,79402 Peterson Drives Apt. 511,1.0,1.9333333333333331,1.0666666666666667,2.8000000000000003
350.0,310 Kendra Common Apt. 164,1.0,1.9333333333333331,1.0666666666666667,2.8000000000000003
360.0,55940 Herrera Lane Apt. 849,1.0,1.8466666666666665,1.08,3.1
360.0,310 Kendra Common Apt. 164,1.0,1.8466666666666665,1.08,3.1
360.0,33890 Jennifer Squares,1.0,1.8466666666666665,1.08,3.1
370.0,43321 Brittany Bypass,1.0,1.2833333333333334,1.0,1.5833333333333335
370.0,55940 Herrera Lane Apt. 849,2.0,1.2833333333333334,1.0,1.5833333333333335
370.0,79402 Peterson Drives Apt. 511,2.0,1.2833333333333334,1.0,1.5833333333333335
380.0,33890 Jennifer Squares,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,79402 Peterson Drives Apt. 511,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,43321 Brittany Bypass,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,310 Kendra Common Apt. 164,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,33890 Jennifer Squares,2.0,1.2333333333333334,1.0,1.6333333333333335
380.0,55940 Herrera Lane Apt. 849,1.0,1.2333333333333334,1.0,1.6333333333333335
390.0,79402 Peterson Drives Apt. 511,2.0,1.4,1.0,2.0
400.0,43321 Brittany Bypass,5.0,1.6,1.2,2.0
390.0,33890 Jennifer Squares,1.0,1.4,1.0,2.0
400.0,79402 Peterson Drives Apt. 511,1.0,1.6,1.2,2.0
400.0,55940 Herrera Lane Apt. 849,1.0,1.6,1.2,2.0
400.0,310 Kendra Common Apt. 164,1.0,1.6,1.2,2.0
410.0,33890 Jennifer Squares,2.0,1.3666666666666667,1.0,1.9666666666666663
410.0,43321 Brittany Bypass,1.0,1.3666666666666667,1.0,1.9666666666666663
410.0,79402 Peterson Drives Apt. 511,1.0,1.3666666666666667,1.0,1.9666666666666663
420.0,55940 Herrera Lane Apt. 849,2.0,2.1833333333333336,1.2333333333333334,3.1333333333333333
420.0,310 Kendra Common Apt. 164,1.0,2.1833333333333336,1.2333333333333334,3.1333333333333333
420.0,55940 Herrera Lane Apt. 849,1.0,2.1833333333333336,1.2333333333333334,3.1333333333333333
420.0,79402 Peterson Drives Apt. 511,1.0,2.1833333333333336,1.2333333333333334,3.1333333333333333
430.0,43321 Brittany Bypass,1.0,2.1,1.5,2.7
430.0,33890 Jennifer Squares,1.0,2.1,1.5,2.7
430.0,310 Kendra Common Apt. 164,1.0,2.1,1.5,2.7
440.0,79402 Peterson Drives Apt. 511,1.0,1.7,1.15,2.6
440.0,43321 Brittany Bypass,1.0,1.7,1.15,2.6
440.0,79402 Peterson Drives Apt. 511,1.0,1.7,1.15,2.6
440.0,55940 Herrera Lane Apt. 849,3.0,1.7,1.15,2.6
450.0,33890 Jennifer Squares,1.0,1.35,1.0,1.75
450.0,310 Kendra Common Apt. 164,3.0,1.35,1.0,1.75
460.0,55940 Herrera Lane Apt. 849,2.0,1.5633333333333332,1.2133333333333332,2.016666666666667
460.0,79402 Peterson Drives Apt. 511,2.0,1.5633333333333332,1.2133333333333332,2.016666666666667
460.0,43321 Brittany Bypass,1.0,1.5633333333333332,1.2133333333333332,2.016666666666667
460.0,310 Kendra Common Apt. 164,1.0,1.5633333333333332,1.2133333333333332,2.016666666666667
470.0,33890 Jennifer Squares,5.0,2.0,1.231666666666667,2.8666666666666667
460.0,43321 Brittany Bypass,1.0,1.5633333333333332,1.2133333333333332,2.016666666666667
470.0,55940 Herrera Lane Apt. 849,1.0,2.0,1.231666666666667,2.8666666666666667
470.0,79402 Peterson Drives Apt. 511,1.0,2.0,1.231666666666667,2.8666666666666667
480.0,310 Kendra Common Apt. 164,1.0,1.95,1.4,2.6024999999999974
480.0,43321 Brittany Bypass,1.0,1.95,1.4,2.6024999999999974
490.0,55940 Herrera Lane Apt. 849,2.0,2.0833333333333335,1.4,2.7666666666666666
490.0,310 Kendra Common Apt. 164,4.0,2.0833333333333335,1.4,2.7666666666666666
490.0,33890 Jennifer Squares,1.0,2.0833333333333335,1.4,2.7666666666666666
30.0,525 Clark Grove Apt. 928,30.0,30.0,28.5,31.5
50.0,76483 Cameron Trail,46.0,23.083333333333336,5.333333333333333,37.583333333333336
40.0,05641 Robin Port,35.0,22.486666666666668,9.466666666666667,35.927499999999995
50.0,76724 John Points Suite 969,50.0,23.083333333333336,5.333333333333333,37.583333333333336
20.0,3287 Katelyn Wall Apt. 226,23.0,18.3125,15.625,22.0
40.0,3287 Katelyn Wall Apt. 226,3.0,22.486666666666668,9.466666666666667,35.927499999999995
50.0,05641 Robin Port,3.0,23.083333333333336,5.333333333333333,37.583333333333336
60.0,525 Clark Grove Apt. 928,1.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,76724 John Points Suite 969,2.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,3287 Katelyn Wall Apt. 226,3.0,12.446666666666667,2.0100000000000002,23.74791666666666
70.0,05641 Robin Port,3.0,7.4333333333333345,1.6,18.1
70.0,525 Clark Grove Apt. 928,1.0,7.4333333333333345,1.6,18.1
70.0,76483 Cameron Trail,1.0,7.4333333333333345,1.6,18.1
70.0,76724 John Points Suite 969,4.0,7.4333333333333345,1.6,18.1
80.0,3287 Katelyn Wall Apt. 226,2.0,2.4833333333333334,1.15,4.942083333333332
70.0,525 Clark Grove Apt. 928,1.0,7.4333333333333345,1.6,18.1
80.0,05641 Robin Port,1.0,2.4833333333333334,1.15,4.942083333333332
80.0,76724 John Points Suite 969,1.0,2.4833333333333334,1.15,4.942083333333332
90.0,525 Clark Grove Apt. 928,1.0,3.9,1.6666666666666665,6.966666666666666
90.0,05641 Robin Port,1.0,3.9,1.6666666666666665,6.966666666666666
90.0,76483 Cameron Trail,1.0,3.9,1.6666666666666665,6.966666666666666
100.0,525 Clark Grove Apt. 928,1.0,2.38,1.08,3.7954999999999948
100.0,3287 Katelyn Wall Apt. 226,1.0,2.38,1.08,3.7954999999999948
100.0,05641 Robin Port,1.0,2.38,1.08,3.7954999999999948
110.0,76483 Cameron Trail,1.0,1.5999999999999999,1.0666666666666667,2.2666666666666666
110.0,76724 John Points Suite 969,1.0,1.5999999999999999,1.0666666666666667,2.2666666666666666
110.0,525 Clark Grove Apt. 928,1.0,1.5999999999999999,1.0666666666666667,2.2666666666666666
120.0,05641 Robin Port,1.0,1.28,1.08,1.4704999999999997
120.0,3287 Katelyn Wall Apt. 226,2.0,1.28,1.08,1.4704999999999997
120.0,76483 Cameron Trail,1.0,1.28,1.08,1.4704999999999997
120.0,05641 Robin Port,2.0,1.28,1.08,1.4704999999999997
130.0,525 Clark Grove Apt. 928,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,3287 Katelyn Wall Apt. 226,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,76724 John Points Suite 969,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,76483 Cameron Trail,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,05641 Robin Port,1.0,1.1333333333333333,1.0,1.4000000000000001
140.0,3287 Katelyn Wall Apt. 226,1.0,1.3,1.0,1.6
140.0,05641 Robin Port,1.0,1.3,1.0,1.6
150.0,76483 Cameron Trail,1.0,1.8666666666666665,1.5333333333333334,2.3
150.0,525 Clark Grove Apt. 928,1.0,1.8666666666666665,1.5333333333333334,2.3
150.0,3287 Katelyn Wall Apt. 226,3.0,1.8666666666666665,1.5333333333333334,2.3
150.0,76724 John Points Suite 969,1.0,1.8666666666666665,1.5333333333333334,2.3
160.0,05641 Robin Port,1.0,1.0,1.0,1.0
160.0,525 Clark Grove Apt. 928,1.0,1.0,1.0,1.0
170.0,05641 Robin Port,1.0,1.0666666666666667,1.0,1.2
170.0,3287 Katelyn Wall Apt. 226,1.0,1.0666666666666667,1.0,1.2
170.0,76724 John Points Suite 969,1.0,1.0666666666666667,1.0,1.2
170.0,76483 Cameron Trail,1.0,1.0666666666666667,1.0,1.2
170.0,05641 Robin Port,1.0,1.0666666666666667,1.0,1.2
180.0,76483 Cameron Trail,1.0,1.3,1.1,1.5
180.0,525 Clark Grove Apt. 928,1.0,1.3,1.1,1.5
180.0,05641 Robin Port,1.0,1.3,1.1,1.5
190.0,3287 Katelyn Wall Apt. 226,1.0,1.4833333333333334,1.05,2.0333333333333337
190.0,76483 Cameron Trail,4.0,1.4833333333333334,1.05,2.0333333333333337
200.0,76724 John Points Suite 969,5.0,1.903333333333333,1.1199999999999999,2.6866666666666665
200.0,05641 Robin Port,1.0,1.903333333333333,1.1199999999999999,2.6866666666666665
200.0,3287 Katelyn Wall Apt. 226,5.0,1.903333333333333,1.1199999999999999,2.6866666666666665
200.0,76483 Cameron Trail,2.0,1.903333333333333,1.1199999999999999,2.6866666666666665
210.0,525 Clark Grove Apt. 928,4.0,1.7,1.0,2.4
250.0,05641 Robin Port,43.0,4.066666666666666,1.0666666666666667,9.6
210.0,76724 John Points Suite 969,1.0,1.7,1.0,2.4
220.0,76483 Cameron Trail,1.0,1.45,1.0,2.2
220.0,3287 Katelyn Wall Apt. 226,1.0,1.45,1.0,2.2
220.0,76724 John Points Suite 969,1.0,1.45,1.0,2.2
230.0,525 Clark Grove Apt. 928,1.0,1.04,1.0,1.12
230.0,76483 Cameron Trail,1.0,1.04,1.0,1.12
240.0,76724 John Points Suite 969,1.0,1.29,1.04475,1.6657499999999994
240.0,3287 Katelyn Wall Apt. 226,1.0,1.29,1.04475,1.6657499999999994
250.0,525 Clark Grove Apt. 928,1.0,4.066666666666666,1.0666666666666667,9.6
280.0,525 Clark Grove Apt. 928,28.0,3.5666666666666673,1.42375,6.916666666666667
250.0,76483 Cameron Trail,1.0,4.066666666666666,1.0666666666666667,9.6
260.0,76724 John Points Suite 969,1.0,1.3833333333333333,1.1333333333333333,1.7333333333333332
260.0,76483 Cameron Trail,2.0,1.3833333333333333,1.1333333333333333,1.7333333333333332
260.0,3287 Katelyn Wall Apt. 226,1.0,1.3833333333333333,1.1333333333333333,1.7333333333333332
270.0,76483 Cameron Trail,1.0,1.7333333333333332,1.0,2.7366666666666637
270.0,05641 Robin Port,1.0,1.7333333333333332,1.0,2.7366666666666637
280.0,76483 Cameron Trail,1.0,3.5666666666666673,1.42375,6.916666666666667
290.0,76724 John Points Suite 969,14.0,2.35,1.3333333333333335,3.4733333333333274
280.0,05641 Robin Port,1.0,3.5666666666666673,1.42375,6.916666666666667
290.0,525 Clark Grove Apt. 928,1.0,2.35,1.3333333333333335,3.4733333333333274
290.0,3287 Katelyn Wall Apt. 226,1.0,2.35,1.3333333333333335,3.4733333333333274
300.0,05641 Robin Port,2.0,1.2,1.0,1.4
300.0,76483 Cameron Trail,1.0,1.2,1.0,1.4
300.0,05641 Robin Port,2.0,1.2,1.0,1.4
300.0,525 Clark Grove Apt. 928,1.0,1.2,1.0,1.4
310.0,3287 Katelyn Wall Apt. 226,4.0,1.4,1.0,2.2
320.0,76724 John Points Suite 969,6.0,1.7333333333333332,1.15,2.3
310.0,76483 Cameron Trail,2.0,1.4,1.0,2.2
320.0,525 Clark Grove Apt. 928,1.0,1.7333333333333332,1.15,2.3
320.0,76483 Cameron Trail,1.0,1.7333333333333332,1.15,2.3
330.0,76724 John Points Suite 969,1.0,1.9333333333333336,1.0666666666666667,2.8349999999999986
330.0,05641 Robin Port,1.0,1.9333333333333336,1.0666666666666667,2.8349999999999986
330.0,525 Clark Grove Apt. 928,1.0,1.9333333333333336,1.0666666666666667,2.8349999999999986
340.0,3287 Katelyn Wall Apt. 226,2.0,1.3333333333333335,1.0,1.6666666666666667
340.0,05641 Robin Port,3.0,1.3333333333333335,1.0,1.6666666666666667
340.0,525 Clark Grove Apt. 928,1.0,1.3333333333333335,1.0,1.6666666666666667
350.0,76483 Cameron Trail,2.0,1.9333333333333331,1.0666666666666667,2.8000000000000003
350.0,76724 John Points Suite 969,1.0,1.9333333333333331,1.0666666666666667,2.8000000000000003
350.0,3287 Katelyn Wall Apt. 226,1.0,1.9333333333333331,1.0666666666666667,2.8000000000000003
360.0,76724 John Points Suite 969,1.0,1.8466666666666665,1.08,3.1
360.0,3287 Katelyn Wall Apt. 226,2.0,1.8466666666666665,1.08,3.1
360.0,05641 Robin Port,1.0,1.8466666666666665,1.08,3.1
360.0,76483 Cameron Trail,2.0,1.8466666666666665,1.08,3.1
360.0,525 Clark Grove Apt. 928,1.0,1.8466666666666665,1.08,3.1
370.0,76483 Cameron Trail,1.0,1.2833333333333334,1.0,1.5833333333333335
380.0,76724 John Points Suite 969,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,05641 Robin Port,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,3287 Katelyn Wall Apt. 226,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,76724 John Points Suite 969,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,76483 Cameron Trail,1.0,1.2333333333333334,1.0,1.6333333333333335
380.0,525 Clark Grove Apt. 928,1.0,1.2333333333333334,1.0,1.6333333333333335
390.0,05641 Robin Port,1.0,1.4,1.0,2.0
390.0,05641 Robin Port,1.0,1.4,1.0,2.0
400.0,525 Clark Grove Apt. 928,1.0,1.6,1.2,2.0
400.0,76483 Cameron Trail,1.0,1.6,1.2,2.0
400.0,76724 John Points Suite 969,1.0,1.6,1.2,2.0
400.0,525 Clark Grove Apt. 928,1.0,1.6,1.2,2.0
410.0,3287 Katelyn Wall Apt. 226,1.0,1.3666666666666667,1.0,1.9666666666666663
410.0,05641 Robin Port,1.0,1.3666666666666667,1.0,1.9666666666666663
420.0,76724 John Points Suite 969,4.0,2.1833333333333336,1.2333333333333334,3.1333333333333333
420.0,3287 Katelyn Wall Apt. 226,3.0,2.1833333333333336,1.2333333333333334,3.1333333333333333
420.0,76483 Cameron Trail,5.0,2.1833333333333336,1.2333333333333334,3.1333333333333333
420.0,76724 John Points Suite 969,2.0,2.1833333333333336,1.2333333333333334,3.1333333333333333
430.0,05641 Robin Port,4.0,2.1,1.5,2.7
430.0,525 Clark Grove Apt. 928,1.0,2.1,1.5,2.7
430.0,3287 Katelyn Wall Apt. 226,2.0,2.1,1.5,2.7
430.0,76483 Cameron Trail,3.0,2.1,1.5,2.7
440.0,3287 Katelyn Wall Apt. 226,1.0,1.7,1.15,2.6
450.0,05641 Robin Port,2.0,1.35,1.0,1.75
440.0,76483 Cameron Trail,1.0,1.7,1.15,2.6
450.0,525 Clark Grove Apt. 928,1.0,1.35,1.0,1.75
450.0,76724 John Points Suite 969,2.0,1.35,1.0,1.75
450.0,76483 Cameron Trail,2.0,1.35,1.0,1.75
460.0,3287 Katelyn Wall Apt. 226,1.0,1.5633333333333332,1.2133333333333332,2.016666666666667
460.0,76483 Cameron Trail,1.0,1.5633333333333332,1.2133333333333332,2.016666666666667
470.0,525 Clark Grove Apt. 928,1.0,2.0,1.231666666666667,2.8666666666666667
470.0,05641 Robin Port,1.0,2.0,1.231666666666667,2.8666666666666667
480.0,76724 John Points Suite 969,3.0,1.95,1.4,2.6024999999999974
480.0,525 Clark Grove Apt. 928,1.0,1.95,1.4,2.6024999999999974
480.0,3287 Katelyn Wall Apt. 226,2.0,1.95,1.4,2.6024999999999974
480.0,76483 Cameron Trail,7.0,1.95,1.4,2.6024999999999974
490.0,525 Clark Grove Apt. 928,1.0,2.0833333333333335,1.4,2.7666666666666666
490.0,05641 Robin Port,5.0,2.0833333333333335,1.4,2.7666666666666666
500.0,76483 Cameron Trail,1.0,1.8333333333333333,1.0,3.0
500.0,3287 Katelyn Wall Apt. 226,1.0,1.8333333333333333,1.0,3.0
40.0,6978 Maddox Wall,36.0,22.486666666666668,9.466666666666667,35.927499999999995
30.0,184 Rodriguez Mews,28.0,30.0,28.5,31.5
20.0,0482 Monica Hills,16.0,18.3125,15.625,22.0
40.0,52880 Burns Creek,38.0,22.486666666666668,9.466666666666667,35.927499999999995
40.0,3039 Christopher Oval Apt. 822,44.0,22.486666666666668,9.466666666666667,35.927499999999995
50.0,0482 Monica Hills,15.0,23.083333333333336,5.333333333333333,37.583333333333336
50.0,184 Rodriguez Mews,3.0,23.083333333333336,5.333333333333333,37.583333333333336
50.0,6978 Maddox Wall,1.0,23.083333333333336,5.333333333333333,37.583333333333336
60.0,52880 Burns Creek,10.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,6978 Maddox Wall,1.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,0482 Monica Hills,1.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,184 Rodriguez Mews,1.0,12.446666666666667,2.0100000000000002,23.74791666666666
70.0,3039 Christopher Oval Apt. 822,1.0,7.4333333333333345,1.6,18.1
70.0,0482 Monica Hills,1.0,7.4333333333333345,1.6,18.1
70.0,52880 Burns Creek,1.0,7.4333333333333345,1.6,18.1
80.0,184 Rodriguez Mews,2.0,2.4833333333333334,1.15,4.942083333333332
80.0,0482 Monica Hills,1.0,2.4833333333333334,1.15,4.942083333333332
80.0,6978 Maddox Wall,1.0,2.4833333333333334,1.15,4.942083333333332
80.0,52880 Burns Creek,1.0,2.4833333333333334,1.15,4.942083333333332
90.0,184 Rodriguez Mews,1.0,3.9,1.6666666666666665,6.966666666666666
90.0,3039 Christopher Oval Apt. 822,1.0,3.9,1.6666666666666665,6.966666666666666
90.0,52880 Burns Creek,1.0,3.9,1.6666666666666665,6.966666666666666
100.0,0482 Monica Hills,1.0,2.38,1.08,3.7954999999999948
100.0,3039 Christopher Oval Apt. 822,1.0,2.38,1.08,3.7954999999999948
100.0,52880 Burns Creek,1.0,2.38,1.08,3.7954999999999948
100.0,6978 Maddox Wall,1.0,2.38,1.08,3.7954999999999948
110.0,184 Rodriguez Mews,1.0,1.5999999999999999,1.0666666666666667,2.2666666666666666
